trump,video,female,pid,age,educ
100,0,1,6,60,10
100,0,1,6,57,12
0,4,1,2,47,8
0,4,1,2,59,12
10,1,0,1,84,11
30,1,0,4,50,12
40,2,1,1,47,12
70,3,1,6,57,12
30,1,0,6,24,9
0,2,1,5,62,13
0,4,0,0,60,15
70,1,1,6,66,7
0,4,0,1,30,9
70,1,0,4,90,14
0,4,1,0,23,12
60,0,1,3,28,8
30,3,1,2,39,12
15,2,0,3,46,10
40,2,0,1,61,13
0,4,1,0,40,11
70,0,0,5,40,14
30,3,1,1,31,13
30,4,1,0,66,8
85,1,0,5,48,9
0,3,0,1,59,7
0,2,0,0,58,2
0,4,1,2,37,13
60,2,0,5,34,12
0,4,0,2,36,14
85,0,0,4,41,12
0,3,1,0,58,12
0,3,0,0,75,11
85,2,0,6,88,8
0,4,1,0,50,12
15,4,1,2,38,13
15,1,0,4,63,12
60,1,1,6,47,11
0,4,0,4,32,13
100,0,1,6,59,8
0,4,1,0,76,12
70,0,1,6,48,12
0,4,1,0,66,10
50,0,0,6,54,10
60,1,1,4,60,12
85,0,0,5,26,10
85,2,1,4,66,12
15,2,1,0,42,10
0,4,1,1,33,12
85,0,0,5,21,6
85,1,0,4,47,9
15,1,1,1,52,11
0,2,0,1,52,8
15,2,0,2,35,12
70,1,0,4,55,9
15,4,1,2,61,12
50,4,0,2,54,7
0,4,1,3,36,10
50,1,1,6,57,8
85,0,0,6,82,12
30,4,0,0,72,7
0,4,0,2,80,9
0,4,0,0,52,9
60,1,1,4,21,8
0,4,1,3,20,9
85,1,0,5,55,7
0,4,1,1,47,13
30,4,1,0,73,10
60,2,1,1,41,8
60,1,0,5,27,12
50,2,1,2,45,9
100,1,0,6,51,10
70,0,0,4,34,9
70,1,0,6,80,12
100,1,1,4,48,8
70,0,1,4,35,12
70,1,1,4,76,10
0,4,1,4,33,12
60,2,1,6,48,13
15,3,0,3,29,12
0,4,1,0,67,12
60,3,0,4,39,11
85,1,0,6,27,12
70,1,0,4,71,9
0,4,1,1,42,12
0,3,1,1,36,13
40,4,1,4,53,4
0,3,1,2,21,8
0,4,0,0,35,12
0,4,1,1,66,12
70,1,1,6,49,12
0,4,1,1,68,8
100,0,0,6,63,9
60,1,1,6,88,13
30,0,0,5,23,8
40,4,1,4,27,10
85,1,1,6,69,12
40,1,1,2,26,9
30,4,1,5,42,9
70,0,0,4,74,12
0,3,1,3,26,8
60,2,1,6,81,12
70,1,1,4,49,8
85,1,0,6,59,11
0,1,1,1,42,13
40,1,0,3,34,8
15,4,1,2,46,12
60,1,0,4,36,12
40,0,0,4,63,12
50,2,1,2,45,8
40,3,1,3,73,9
70,1,1,6,83,8
70,2,0,5,56,14
0,2,1,1,43,12
0,4,1,0,46,14
70,2,0,5,21,8
85,0,0,6,74,9
30,2,0,3,61,9
30,4,1,1,67,12
50,3,1,2,65,8
50,2,1,3,41,10
50,2,1,4,66,8
15,1,0,3,54,12
30,1,0,4,35,9
0,4,1,0,45,9
0,3,1,4,31,12
40,2,0,2,40,12
0,3,1,3,34,9
85,1,0,6,71,13
85,1,1,2,76,9
15,3,0,3,34,9
30,0,0,5,27,7
85,3,0,4,68,11
100,0,1,4,76,8
0,4,1,0,69,13
70,0,1,5,68,9
30,1,0,6,64,12
100,0,0,6,52,10
0,4,0,1,68,9
70,2,1,6,53,12
70,1,1,4,26,12
40,2,0,4,37,8
50,2,1,4,69,12
0,3,0,2,74,15
85,0,0,5,21,11
60,1,1,6,42,11
75,0,0,6,50,10
60,0,0,6,45,10
70,1,1,4,60,9
70,2,1,6,53,12
60,2,1,1,29,12
30,2,1,0,53,10
0,4,1,0,32,12
15,4,0,3,31,12
40,2,1,6,77,12
70,1,1,6,29,12
0,0,0,0,50,9
0,4,0,2,42,13
0,4,1,3,59,8
70,1,0,6,53,12
0,4,1,1,65,12
0,4,0,2,72,10
60,0,0,6,38,12
85,2,1,5,71,12
85,1,0,6,51,13
70,1,1,5,34,8
70,0,1,6,54,12
100,0,0,6,53,10
40,4,0,0,56,9
15,4,0,0,27,9
0,4,0,3,21,9
0,3,0,0,66,10
0,4,1,0,81,8
85,2,1,1,70,9
0,4,0,2,79,13
40,4,1,0,54,4
0,4,1,0,50,9
0,3,0,0,39,12
0,4,1,3,54,11
21,2,0,1,23,12
0,4,0,0,46,11
100,1,1,4,78,9
0,4,1,0,70,8
0,3,0,0,55,15
0,4,0,4,28,6
70,4,1,6,80,9
0,2,0,2,30,12
0,0,0,3,38,9
0,4,1,0,60,12
85,0,0,6,80,13
15,3,0,1,39,10
0,4,1,1,58,10
60,1,0,4,58,9
85,0,1,6,23,8
50,1,0,2,26,10
40,0,1,6,62,8
0,4,1,3,34,12
70,2,1,6,29,7
85,1,1,4,36,8
0,4,0,2,25,9
0,4,1,0,67,9
